count2019_01,source_name_01_y,ra_01,dec_01
1000,031726-000539,49.3604,-0.0941944
1001,UGC2639,49.4615,41.9674
1002,J031753-071752,49.4726,-7.29783
1003,J031755+405535,49.48,40.9267
1004,3C83.1,49.5658,41.8578
1005,J031818+414031,49.575,41.6753
1006,0318342+4725300,49.6425,47.425
1007,NGC-1289,49.7075,-1.97331
1008,SDSSJ03191+0057,49.7821,0.955806
1010,J0319+4138,49.8641,41.6352
1012,3C84,49.9504,41.5117
1015,NGC1275,49.9507,41.5117
1017,NGC-1302,49.9616,-26.0601
1018,NGC-1277,49.9646,41.5735
1019,J0319+4200,49.9765,42.0146
1021,SDSSJ03201+4021,50.0262,40.3664
1023,NGC-1301,50.1472,-18.7153
1024,032045-010241,50.1892,-1.04478
1026,CGCG441-008NED0,50.3888,13.5487
1028,UGC02696,50.5214,42.1721
1029,NGC-1309,50.5275,-15.4006
1030,J0322+4011,50.6027,40.1889
1031,SDSSJ03225-0103,50.6492,-1.05225
1032,032258+000315,50.7417,0.0542222
1033,032258.0+000315,50.7417,0.0541111
1036,032329-062944,50.8735,-6.49558
1037,NGC-1319,50.9846,-21.5269
1038,NGC1326,50.985,-36.4647
1046,NGC1320,51.2029,-3.04225
1060,MCG-02-09-040,51.2706,-12.308
1061,MRK609,51.3558,-6.14389
1062,UGC2724,51.3566,40.7731
1063,2MASXJ03254170-,51.4237,-0.188139
1064,NGC-1329,51.5108,-17.5915
1065,0326087+2548415,51.5362,25.8116
1066,NGC-1332,51.572,-21.3358
1067,0326264+2905523,51.6102,29.0979
1068,0326481+2440086,51.7003,24.6691
1069,IC-1928,51.8708,-21.5603
1070,3C88,51.9758,2.56169
1071,J033009-053118,52.5397,-5.52169
1072,NGC1346,52.555,-5.54331
1073,033025+001625,52.6054,0.273833
1074,033029.4-002920,52.6226,-0.488778
1076,Mrk612,52.6701,-3.13775
1077,033050+003119,52.7084,0.522083
1078,HS0328+0528,52.7175,5.64056
1080,NGC1350,52.7837,-33.6287
1082,J033241-011100,53.1715,-1.18361
1083,NPM1G-14.0176,53.2825,-13.9094
1084,NGC-1357,53.3217,-13.665
1086,ESO-548-G35,53.3722,-18.1467
1090,NGC1365,53.4017,-36.1403
1092,NGC-1358,53.4154,-5.08942
1095,033408+010853,53.5346,1.14819
1096,033410+010612,53.5439,1.10336
1097,NPM1G-15.0192,53.602,-15.2278
1103,033646-075024,54.1925,-7.84
1107,NGC1386,54.1925,-35.9993
1111,NGC1386test,54.1936,-36.0004
1115,ESO482-G014,54.2632,-25.2492
1116,033713-071718,54.3054,-7.28828
1117,UGC-2798,54.5415,40.9831
